Date,precipitation,NINO,AMO,IOD,Zonalwind,EPTW
31/01/1979,-117.3637289,-0.13,-0.365,-0.204,0.9,-3.4
28/02/1979,-121.9637289,-0.22,-0.133,-0.434,-1,-1.5
31/03/1979,-123.9637289,-0.02,-0.328,-0.317,-2.6,-0.7
30/04/1979,-118.7637289,0.02,0.031,-0.004,4,-0.1
31/05/1979,34.13627113,-0.25,0.076,-0.201,-13.8,-1.7
30/06/1979,20.83627113,-0.29,-0.05,-0.377,-4.8,3
31/07/1979,430.7362711,-0.47,-0.092,-0.284,-0.2,-2.6
31/08/1979,341.3362711,-0.1,-0.128,-0.423,0.5,0.2
30/09/1979,136.1362711,0.28,0.11,-0.057,-2.7,-1.1
31/10/1979,58.53627113,0.11,0.171,-0.426,-2.1,-1.3
30/11/1979,-123.9637289,0.29,0.083,-0.189,8.7,1.9
31/12/1979,-123.9637289,0.52,-0.117,-0.611,8.4,-2.9
31/01/1980,-123.9637289,0.54,0.037,0.007,-1.4,-1
29/02/1980,-113.8637289,0.22,0.131,0.086,-2.4,-4.7
31/03/1980,-88.72372887,0.03,0.048,-0.113,-7.7,-1.5
30/04/1980,-20.16372887,-0.07,0.204,-0.084,-0.3,-0.2
31/05/1980,-86.36372887,0.08,0.128,-0.125,-2,-1.5
30/06/1980,42.73627113,0.21,0.055,0.08,3.9,1.2
31/07/1980,462.6362711,-0.06,-0.069,-0.362,0.7,-1.6
31/08/1980,365.1362711,-0.38,0.128,-0.194,-17.3,-0.3
30/09/1980,101.4362711,-0.28,0.122,-0.49,8.9,5.5
31/10/1980,-26.36372887,-0.26,0.294,-0.154,5.4,1.7
30/11/1980,17.13627113,-0.1,0.253,-0.14,3.6,4.6
31/12/1980,-123.9637289,0.05,0.271,0.068,3.3,0.3
31/01/1981,-123.9637289,-0.36,-0.18,-0.288,-1.5,-1
28/02/1981,-123.9637289,-0.64,-0.021,-0.298,-2.2,-0.4
31/03/1981,-123.9637289,-0.64,0.147,0.027,1.9,-0.9
30/04/1981,-116.7637289,-0.53,0.105,-0.044,7.8,2.3
31/05/1981,-97.96372887,-0.57,0.096,0.256,-0.2,-0.3
30/06/1981,13.13627113,-0.46,0.165,-0.069,7.4,1
31/07/1981,338.7362711,-0.64,0.258,0.304,3,2.9
31/08/1981,340.9362711,-0.53,0.22,-0.339,-4.9,-0.9
30/09/1981,123.3362711,-0.19,0.068,-0.049,12.7,2.6
31/10/1981,31.73627113,-0.3,0.179,-0.101,11.3,2.3
30/11/1981,-65.96372887,-0.41,-0.089,-0.437,6.7,-0.3
31/12/1981,-123.9637289,-0.2,0.04,-0.396,5.6,-0.6
31/01/1982,-109.6637289,0.13,0.091,-0.027,-2.8,-0.5
28/02/1982,-123.3637289,-0.17,0.167,-0.236,-8.6,-0.9
31/03/1982,-66.06372887,0.13,0.051,-0.144,2.3,1.6
30/04/1982,-120.0637289,0.21,0.139,0.512,0.8,-1
31/05/1982,-45.36372887,0.45,0.147,0.329,-6.2,-0.3
30/06/1982,-33.66372887,0.53,-0.086,-0.461,2.9,-3.2
31/07/1982,142.5362711,0.37,-0.21,-0.331,0.4,-1.4
31/08/1982,546.6362711,0.73,-0.087,-0.232,-13.8,-0.3
30/09/1982,77.83627113,1.49,0.07,-0.236,-0.3,4.2
31/10/1982,58.63627113,1.99,-0.259,0.213,5.8,1.5
30/11/1982,-56.06372887,1.92,-0.075,-0.162,-6.1,-1.4
31/12/1982,-123.9637289,2.2,-0.023,0.297,-2.1,-4.4
31/01/1983,-123.9637289,2.35,-0.259,0.198,3.4,-1.2
28/02/1983,-123.9637289,1.94,-0.331,0.143,12,0.8
31/03/1983,-123.9637289,1.38,-0.387,0.043,-2.5,-5
30/04/1983,-103.1637289,0.95,-0.289,0.279,-1.2,-0.6
31/05/1983,-34.36372887,0.9,-0.286,-0.367,-11.8,-1.6
30/06/1983,-72.96372887,0.54,-0.398,0.005,-6.6,-5.2
31/07/1983,325.6362711,-0.11,-0.402,-0.003,0,0.5
31/08/1983,403.6362711,-0.27,-0.119,-0.64,-6.3,-0.2
30/09/1983,74.93627113,-0.52,-0.205,0.317,0.3,1.3
31/10/1983,-72.36372887,-1.16,-0.014,-0.158,6.2,1
30/11/1983,-77.66372887,-1.29,-0.189,-0.201,-16.9,-0.3
31/12/1983,-123.9637289,-1.03,-0.089,0.144,5.9,1.7
31/01/1984,-123.9637289,-0.67,-0.306,-0.482,5.4,5.1
29/02/1984,-123.9637289,-0.19,-0.114,-0.223,12.2,3.6
31/03/1984,-123.9637289,-0.52,-0.363,-0.466,8.7,-2.3
30/04/1984,-117.7637289,-0.68,-0.352,-0.113,-5.2,0.1
31/05/1984,31.13627113,-0.73,-0.287,-0.081,0.5,0.4
30/06/1984,73.63627113,-0.9,-0.051,0.353,-2.9,-4
31/07/1984,236.2662711,-0.5,-0.234,-0.281,3,1.3
31/08/1984,138.6362711,-0.24,-0.312,-0.099,-3.9,0.7
30/09/1984,-7.263728869,-0.34,-0.209,0.065,9.5,4.3
31/10/1984,-123.9637289,-0.67,-0.205,-0.321,6.8,4.9
30/11/1984,-110.9637289,-1.19,-0.256,-0.196,-4.1,-1.5
31/12/1984,-123.9637289,-1.34,-0.313,0.025,10.2,2.1
31/01/1985,-118.9637289,-1.16,-0.08,0.14,3.4,4
28/02/1985,-113.9637289,-0.72,-0.028,-0.021,-0.1,2.5
31/03/1985,-111.1637289,-0.79,-0.109,-0.11,3.8,-2.3
30/04/1985,-79.16372887,-1.18,0.112,0.525,4.1,-1.1
31/05/1985,-23.06372887,-1.03,0.032,-0.13,-5.1,0.2
30/06/1985,53.33627113,-0.91,-0.102,-0.125,-0.9,1.5
31/07/1985,235.3562711,-0.74,-0.146,-0.431,3.9,0.3
31/08/1985,135.4362711,-0.56,0.162,-0.142,2.8,-4.4
30/09/1985,22.73627113,-0.7,0.031,-0.239,-1.9,-2.4
31/10/1985,-107.7637289,-0.49,0.191,0.044,2.1,-3
30/11/1985,-108.2637289,-0.37,0.091,-0.124,-16.2,-1.3
31/12/1985,-112.9637289,-0.41,0.104,-0.135,-4.6,3.1
31/01/1986,-120.6637289,-0.66,0.151,0.224,9.1,-3.3
28/02/1986,-121.6637289,-0.71,0.01,0.115,-1.3,2.7
31/03/1986,-81.96372887,-0.42,-0.079,0.031,-5.2,-2.1
30/04/1986,-108.3637289,-0.33,0.019,0.294,1.3,2.4
31/05/1986,-118.3637289,-0.53,0.123,0.192,4.8,2.1
30/06/1986,223.5362711,-0.31,-0.086,0.046,6.6,-4.8
31/07/1986,323.5362711,-0.11,0.107,-0.065,-0.5,-3.4
31/08/1986,320.6362711,0.32,-0.083,-0.101,-6.5,-1.3
30/09/1986,68.63627113,0.53,-0.03,-0.1,-0.4,-3.4
31/10/1986,-77.16372887,0.81,0.209,0.266,1.5,0.7
30/11/1986,-123.9637289,1.01,0.203,-0.086,1.2,0.8
