Date,Month,Year,precipitation,temperature
01/01/1976,1,1976,2,20.3
02/01/1976,1,1976,3.8,19.2
03/01/1976,1,1976,1.2,20.7
04/01/1976,1,1976,2.7,20.2
05/01/1976,1,1976,0,21.4
06/01/1976,1,1976,0,21.6
07/01/1976,1,1976,0,22
08/01/1976,1,1976,0,23
09/01/1976,1,1976,3,23.1
10/01/1976,1,1976,0,23
11/01/1976,1,1976,0,23
12/01/1976,1,1976,0,22.5
13/01/1976,1,1976,0,23
14/01/1976,1,1976,0,23.5
15/01/1976,1,1976,0,23.2
16/01/1976,1,1976,0,24
17/01/1976,1,1976,0,24.1
18/01/1976,1,1976,0,23.4
19/01/1976,1,1976,0,23.8
20/01/1976,1,1976,0,24.6
21/01/1976,1,1976,0,23.7
22/01/1976,1,1976,0,22.9
23/01/1976,1,1976,0,23.4
24/01/1976,1,1976,0,23
25/01/1976,1,1976,0,23.6
26/01/1976,1,1976,0,24
27/01/1976,1,1976,0,23.8
28/01/1976,1,1976,0,23.5
29/01/1976,1,1976,0,24.5
30/01/1976,1,1976,0,23.4
31/01/1976,1,1976,0,24
01/02/1976,2,1976,0,23.8
02/02/1976,2,1976,0,24.3
03/02/1976,2,1976,0,24.5
04/02/1976,2,1976,0.5,23.3
05/02/1976,2,1976,0.2,23.9
06/02/1976,2,1976,0.1,24.3
07/02/1976,2,1976,0,23.8
08/02/1976,2,1976,0,24.4
09/02/1976,2,1976,0,23.3
10/02/1976,2,1976,0,22.4
11/02/1976,2,1976,0,23.5
12/02/1976,2,1976,0,23.3
13/02/1976,2,1976,1.8,22.4
14/02/1976,2,1976,0,23.5
15/02/1976,2,1976,0,23.4
16/02/1976,2,1976,0,24
17/02/1976,2,1976,0,23.5
18/02/1976,2,1976,0,23.6
19/02/1976,2,1976,0,24
20/02/1976,2,1976,0,23.3
21/02/1976,2,1976,0,24
22/02/1976,2,1976,0,24.2
23/02/1976,2,1976,0,24.3
24/02/1976,2,1976,0,23.8
25/02/1976,2,1976,0,23.5
26/02/1976,2,1976,0,23.8
27/02/1976,2,1976,0,23.9
28/02/1976,2,1976,0,24.8
29/02/1976,2,1976,0,23.5
01/03/1976,3,1976,0,24.6
02/03/1976,3,1976,0,23.2
03/03/1976,3,1976,0,23.2
04/03/1976,3,1976,0,23
05/03/1976,3,1976,1.5,22.9
06/03/1976,3,1976,0,23.8
07/03/1976,3,1976,1,24
08/03/1976,3,1976,0,23.6
09/03/1976,3,1976,15.3,24
10/03/1976,3,1976,0,23.2
11/03/1976,3,1976,0,24
12/03/1976,3,1976,0,25
13/03/1976,3,1976,0,25.1
14/03/1976,3,1976,0,24.8
15/03/1976,3,1976,0,24.5
16/03/1976,3,1976,0,24.3
17/03/1976,3,1976,0,24.5
18/03/1976,3,1976,0,24.3
19/03/1976,3,1976,0,25
20/03/1976,3,1976,0,25.1
21/03/1976,3,1976,0,24.3
22/03/1976,3,1976,0,25
23/03/1976,3,1976,0,25.4
24/03/1976,3,1976,0,25
25/03/1976,3,1976,0,23
26/03/1976,3,1976,0,23
27/03/1976,3,1976,7.4,23
28/03/1976,3,1976,0,24
29/03/1976,3,1976,0,24.3
30/03/1976,3,1976,0,24.2
31/03/1976,3,1976,0,25
01/04/1976,4,1976,0,24.6
02/04/1976,4,1976,0,25.1
03/04/1976,4,1976,0,24.6
04/04/1976,4,1976,0.1,22.5
05/04/1976,4,1976,0.9,22.4
06/04/1976,4,1976,28.2,22
07/04/1976,4,1976,0,24
08/04/1976,4,1976,0,24
09/04/1976,4,1976,0,22.6
10/04/1976,4,1976,3,23
11/04/1976,4,1976,0,23.2
12/04/1976,4,1976,0,23.5
13/04/1976,4,1976,0,24.5
14/04/1976,4,1976,0,23
15/04/1976,4,1976,0,22.8
16/04/1976,4,1976,0,23.5
17/04/1976,4,1976,0,23.4
18/04/1976,4,1976,0,23.2
19/04/1976,4,1976,0,19.3
20/04/1976,4,1976,19.5,18.5
21/04/1976,4,1976,70.9,18
22/04/1976,4,1976,0.9,18.4
23/04/1976,4,1976,12.8,19.5
24/04/1976,4,1976,3.5,18.6
25/04/1976,4,1976,0,19.5
26/04/1976,4,1976,10.4,20
27/04/1976,4,1976,15,22.4
28/04/1976,4,1976,0,22.3
29/04/1976,4,1976,0,23
30/04/1976,4,1976,2,22.8
01/05/1976,5,1976,0,22.6
02/05/1976,5,1976,0,23.5
03/05/1976,5,1976,0,23.6
04/05/1976,5,1976,4.4,22
05/05/1976,5,1976,5.5,21.8
06/05/1976,5,1976,25.5,20.4
07/05/1976,5,1976,8.3,18.6
08/05/1976,5,1976,22.8,16.8
09/05/1976,5,1976,6.9,16.4
10/05/1976,5,1976,0,16.5
