Date,precipitation
1976-12-31,1373.4
1977-12-31,1367.5
1978-12-31,2253.5
1979-12-31,1971.9
1980-12-31,1772.7
1981-12-31,1893.24
1982-12-31,1573.2
1983-12-31,1620.7
1984-12-31,1435.4
1985-12-31,1116.43
1986-12-31,1157.42
1987-12-31,1583.5
1988-12-31,1201.5
1989-12-31,1320.61
1990-12-31,1339.12
1991-12-31,1488.4
1992-12-31,1497.99
1993-12-31,1302.3
1994-12-31,1572.7
1995-12-31,1807.08
1996-12-31,1279.9
1997-12-31,1488.2
1998-12-31,1938.6
1999-12-31,1524.6
2000-12-31,1545.2
2001-12-31,1645.7
2002-12-31,1499.1
2003-12-31,1108.96
2004-12-31,1291.5
2005-12-31,1194.2
2006-12-31,1487.0
2007-12-31,1661.0
2008-12-31,1607.9
2009-12-31,1534.5
2010-12-31,1246.1
2011-12-31,1628.8
2012-12-31,1522.1
2013-12-31,1495.7
2014-12-31,1672.1
2015-12-31,1474.5
2016-12-31,1202.6
2017-12-31,1335.9
2018-12-31,1405.6
