Date,precipitation
1976-01-31,12.7
1976-02-29,2.6
1976-03-31,25.200000000000003
1976-04-30,167.20000000000002
1976-05-31,259.9
1976-06-30,457.2
1976-07-31,448.6
1976-08-31,0.0
1976-09-30,0.0
1976-10-31,0.0
1976-11-30,0.0
1976-12-31,0.0
1977-01-31,12.1
1977-02-28,3.5
1977-03-31,23.2
1977-04-30,76.3
1977-05-31,228.7
1977-06-30,268.1
1977-07-31,422.0
1977-08-31,117.5
1977-09-30,199.1
1977-10-31,13.9
1977-11-30,3.1
1977-12-31,0.0
1978-01-31,17.9
1978-02-28,32.6
1978-03-31,31.5
1978-04-30,179.8
1978-05-31,462.0
1978-06-30,558.4
1978-07-31,524.6
1978-08-31,221.7
1978-09-30,188.7
1978-10-31,17.0
1978-11-30,15.1
1978-12-31,4.2
1979-01-31,15.799999999999999
1979-02-28,0.0
1979-03-31,82.1
1979-04-30,112.3
1979-05-31,605.9
1979-06-30,597.9
1979-07-31,291.6
1979-08-31,150.7
1979-09-30,27.4
1979-10-31,65.3
1979-11-30,22.9
1979-12-31,0.0
1980-01-31,2.0
1980-02-29,0.0
1980-03-31,148.1
1980-04-30,68.5
1980-05-31,290.3
1980-06-30,524.6
1980-07-31,444.1
1980-08-31,154.9
1980-09-30,140.2
1980-10-31,0.0
1980-11-30,0.0
1980-12-31,0.0
1981-01-31,19.939999999999998
1981-02-28,25.4
1981-03-31,139.6
1981-04-30,29.400000000000002
1981-05-31,304.4
1981-06-30,622.6
1981-07-31,387.5
1981-08-31,222.8
1981-09-30,3.5
1981-10-31,138.1
1981-11-30,0.0
1981-12-31,0.0
1982-01-31,0.0
1982-02-28,7.2
1982-03-31,0.0
1982-04-30,36.5
1982-05-31,312.40000000000003
1982-06-30,379.1
1982-07-31,506.0
1982-08-31,153.3
1982-09-30,152.3
1982-10-31,12.1
1982-11-30,14.3
1982-12-31,0.0
1983-01-31,53.1
1983-02-28,5.4
1983-03-31,79.5
1983-04-30,50.1
1983-05-31,54.0
1983-06-30,515.5
1983-07-31,557.9
1983-08-31,196.0
1983-09-30,52.9
1983-10-31,56.300000000000004
1983-11-30,0.0
1983-12-31,0.0
1984-01-31,0.0
1984-02-29,0.0
1984-03-31,22.1
1984-04-30,102.10000000000001
1984-05-31,193.3
1984-06-30,505.6
1984-07-31,376.8
1984-08-31,152.9
1984-09-30,36.3
1984-10-31,46.3
1984-11-30,0.0
1984-12-31,0.0
1985-01-31,0.0
1985-02-28,6.2
1985-03-31,25.7
1985-04-30,165.5
1985-05-31,266.53
1985-06-30,378.6
1985-07-31,245.8
1985-08-31,10.1
1985-09-30,1.0
1985-10-31,12.0
1985-11-30,0.0
1985-12-31,5.0
1986-01-31,12.7
1986-02-28,15.6
1986-03-31,56.5
1986-04-30,90.7
1986-05-31,270.0
1986-06-30,363.32
1986-07-31,155.7
1986-08-31,146.7
1986-09-30,28.9
1986-10-31,14.0
1986-11-30,0.0
1986-12-31,3.3
1987-01-31,5.300000000000001
1987-02-28,47.3
1987-03-31,7.5
1987-04-30,51.8
1987-05-31,414.1
1987-06-30,556.0
1987-07-31,275.7
1987-08-31,181.3
1987-09-30,5.5
1987-10-31,22.9
1987-11-30,0.0
1987-12-31,16.1
1988-01-31,51.800000000000004
1988-02-29,6.8
1988-03-31,51.1
1988-04-30,198.3
1988-05-31,169.8
1988-06-30,355.29999999999995
1988-07-31,223.6
1988-08-31,46.0
1988-09-30,44.4
1988-10-31,27.2
1988-11-30,0.0
1988-12-31,27.2
1989-01-31,42.5
1989-02-28,7.3
1989-03-31,42.8
1989-04-30,61.94
1989-05-31,207.76
1989-06-30,401.74
1989-07-31,330.91
1989-08-31,98.03
1989-09-30,81.0
1989-10-31,29.87
1989-11-30,10.56
1989-12-31,6.2
1990-01-31,60.099999999999994
1990-02-28,31.6
1990-03-31,41.4
1990-04-30,119.60000000000001
1990-05-31,128.2
1990-06-30,378.7
1990-07-31,334.6
1990-08-31,85.5
1990-09-30,103.6
1990-10-31,28.0
1990-11-30,16.3
1990-12-31,11.52
1991-01-31,14.77
1991-02-28,45.82
1991-03-31,63.08
1991-04-30,117.64
1991-05-31,287.31
1991-06-30,424.83
1991-07-31,327.19
1991-08-31,110.48
1991-09-30,58.32
1991-10-31,31.76
1991-11-30,5.51
1991-12-31,1.69
1992-01-31,12.21
1992-02-29,44.75
1992-03-31,73.01
1992-04-30,125.39
1992-05-31,299.19
1992-06-30,415.84
1992-07-31,337.05
1992-08-31,111.63
1992-09-30,49.48
1992-10-31,23.53
1992-11-30,5.91
1992-12-31,0.0
1993-01-31,8.5
1993-02-28,4.3
1993-03-31,119.7
1993-04-30,45.3
1993-05-31,126.1
1993-06-30,367.2
1993-07-31,364.2
1993-08-31,110.39999999999999
