Date,precipitation,temperature
31/01/1975,71.1,21.48387097
28/02/1975,12.8,21.98214286
31/03/1975,2.6,23.6516129
30/04/1975,17.8,23.95666667
31/05/1975,39.6,23.81290323
30/06/1975,266,19.46666667
31/07/1975,403.2,18.58387097
31/08/1975,501.9,15.81612903
30/09/1975,129.6,18.32
31/10/1975,0,19.20967742
30/11/1975,0,20.44333333
31/12/1975,0,19.76129032
31/01/1976,0,21.22258065
29/02/1976,0,22.49655172
31/03/1976,13.6,22.66129032
30/04/1976,9.7,22.77333333
31/05/1976,63.08284833,22.08514354
30/06/1976,137.9,21.55
31/07/1976,298.2,16.87741935
31/08/1976,390,17.54193548
30/09/1976,215.3,19.12666667
31/10/1976,98,20.69677419
30/11/1976,134.9,19.08666667
31/12/1976,6.1,19.77741935
31/01/1977,0,21.05806452
28/02/1977,0,22.83928571
31/03/1977,50.5,22.84193548
30/04/1977,3.5,24.43666667
31/05/1977,162.9,23.28709677
30/06/1977,289.5,19.77666667
31/07/1977,598.9,18.50967742
31/08/1977,541.5,18.5483871
30/09/1977,253.1,20.3
31/10/1977,314,19.19032258
30/11/1977,3.3,20.7
31/12/1977,32.1,21.27096774
31/01/1978,2.6,22.37419355
28/02/1978,8.6,23.28571429
31/03/1978,8.8,23.11612903
30/04/1978,25.3,23.41666667
31/05/1978,73.2,23.31290323
30/06/1978,492.7,19.15666667
31/07/1978,564.6,17.18064516
31/08/1978,405.4,17.97741935
30/09/1978,235.9,19.01666667
31/10/1978,56.1,19.16774194
30/11/1978,64.7,19.52333333
31/12/1978,31.6,20.8
31/01/1979,6.6,21.32903226
28/02/1979,2,23.26071429
31/03/1979,0,24.37096774
30/04/1979,5.2,24.07
31/05/1979,158.1,20.62580645
30/06/1979,144.8,19.68666667
31/07/1979,554.7,18.05806452
31/08/1979,465.3,17.8516129
30/09/1979,260.1,18.69
31/10/1979,182.5,19.32903226
30/11/1979,0,21.01333333
31/12/1979,0,21.77419355
31/01/1980,0,22.23870968
29/02/1980,10.1,22.63793103
31/03/1980,35.24,23.45093224
30/04/1980,103.8,23.33
31/05/1980,37.6,23.70967742
30/06/1980,166.7,22.46
31/07/1980,586.6,18.39354839
31/08/1980,489.1,17.26451613
30/09/1980,225.4,17.88666667
31/10/1980,97.6,19.66451613
30/11/1980,141.1,20.10333333
31/12/1980,0,20.43225806
31/01/1981,0,21.80645161
28/02/1981,0,22.83571429
31/03/1981,0,23.78709677
30/04/1981,7.2,23.92
31/05/1981,26,23.97096774
30/06/1981,137.1,22.39
31/07/1981,462.7,16.39032258
31/08/1981,464.9,16.2
30/09/1981,247.3,17.2
31/10/1981,155.7,20.12580645
30/11/1981,58,21.57
31/12/1981,0,23.05806452
31/01/1982,14.3,23.33225806
28/02/1982,0.6,23.39285714
31/03/1982,57.9,24.48709677
30/04/1982,3.9,24.41666667
31/05/1982,78.6,26.81935484
30/06/1982,90.3,24.26
31/07/1982,266.5,19.10967742
31/08/1982,670.6,17.46451613
30/09/1982,201.8,18.69333333
31/10/1982,182.6,19.18387097
30/11/1982,67.9,19.61333333
31/12/1982,0,21.64350401
31/01/1983,0,22.76451613
28/02/1983,0,22.775
31/03/1983,0,23.82580645
30/04/1983,20.8,24.65666667
31/05/1983,89.6,24.92258065
30/06/1983,51,23.79666667
31/07/1983,449.6,19.57644274
31/08/1983,527.6,19.40967742
30/09/1983,198.9,19.38666667
31/10/1983,51.6,19.47741935
30/11/1983,46.3,19.97
31/12/1983,0,20.2
31/01/1984,0,19.79032258
29/02/1984,0,22.17241379
31/03/1984,0,23.67096774
30/04/1984,6.2,24.21666667
31/05/1984,155.1,22.3483871
30/06/1984,197.6,20.99333333
31/07/1984,360.23,21.86972488
31/08/1984,262.6,19.88387097
30/09/1984,116.7,19.7
31/10/1984,0,19.90967742
30/11/1984,13,19.87
31/12/1984,0,19.69677419
31/01/1985,5,20.59677419
28/02/1985,10,19.60714286
31/03/1985,12.8,20.12580645
30/04/1985,44.8,22.86666667
31/05/1985,100.9,20.48612016
30/06/1985,177.3,20.87666667
31/07/1985,359.32,19.77321693
31/08/1985,259.4,19.70322581
30/09/1985,146.7,19.50333333
31/10/1985,16.2,20.67419355
30/11/1985,15.7,19.85333333
31/12/1985,11,19.73548387
31/01/1986,3.3,20.93225806
28/02/1986,2.3,21.53571429
31/03/1986,42,19.67741935
30/04/1986,15.6,23.94333333
