Date,precipitation,NINO,AMO,IOD,Zonalwind,EPTW
1/31/1979,-0.088649032,-0.13,-1.901917762,-0.777168444,0.188069812,-1.467596828
2/28/1979,-0.291995791,-0.22,-0.693027568,-1.653387769,-0.208966458,-0.647469189
3/31/1979,-1.00771864,-0.02,-1.709120619,-1.207658808,-0.54331279,-0.302152288
4/30/1979,-0.999582354,0.02,0.161532741,-0.015238597,0.83586583,-0.043164613
5/31/1979,0.931956045,-0.25,0.396015753,-0.765739497,-2.883737114,-0.733798414
6/30/1979,-0.389800469,-0.29,-0.26053668,-1.436237762,-1.003038996,1.294938378
7/31/1979,1.710212762,-0.47,-0.479387491,-1.081940383,-0.041793292,-1.122279927
8/31/1979,0.590092374,-0.1,-0.6669739,-1.611481627,0.104483229,0.086329225
9/30/1979,1.359070581,0.28,0.573180695,-0.217150006,-0.564209435,-0.474810738
10/31/1979,1.282151295,0.11,0.891035445,-1.622910575,-0.438829561,-0.561139964
11/30/1979,-0.966486472,0.29,0.432490888,-0.720023706,1.818008181,0.820127639
12/31/1979,-0.743365084,0.52,-0.60965583,-2.327695683,1.755318243,-1.251773765
1/31/1980,-0.478376843,0.54,0.192797143,0.026667545,-0.292553041,-0.431646126
2/29/1980,0.273235877,0.22,0.682606101,0.327629834,-0.501519498,-2.028736792
3/31/1980,0.046044962,0.03,0.250115213,-0.430490364,-1.609041723,-0.647469189
4/30/1980,1.613991842,-0.07,1.062989653,-0.320010536,-0.062689937,-0.086329225
5/31/1980,-1.065497668,0.08,0.6669739,-0.476206155,-0.417932915,-0.647469189
6/30/1980,-0.121674555,0.21,0.286590348,0.304771939,0.814969184,0.517975351
7/31/1980,2.081550878,-0.06,-0.359540618,-1.379093024,0.14627652,-0.690633801
8/31/1980,0.85940005,-0.38,0.6669739,-0.739071952,-3.615119715,-0.129493838
9/30/1980,0.636943064,-0.28,0.635709498,-1.866728126,1.859801472,2.374053692
10/31/1980,0.189222965,-0.26,1.531955677,-0.586685982,1.128418871,0.733798414
11/30/1980,3.214920533,-0.1,1.318315599,-0.533350893,0.752279247,1.985572179
12/31/1980,-0.743365084,0.05,1.412108804,0.259056148,0.68958931,0.129493838
1/31/1981,-0.478376843,-0.36,-0.937932047,-1.09717898,-0.313449686,-0.431646126
2/28/1981,-0.431559165,-0.64,-0.109425405,-1.135275472,-0.459726207,-0.17265845
3/31/1981,-1.00771864,-0.64,0.765977838,0.102860529,0.397036269,-0.388481513
4/30/1981,-0.946568679,-0.53,0.547127027,-0.167624566,1.629938369,0.99278609
5/31/1981,-1.257783669,-0.57,0.500230425,0.975270205,-0.041793292,-0.129493838
6/30/1981,-0.484073051,-0.46,0.859771043,-0.262865797,1.546351786,0.431646126
7/31/1981,0.639268977,-0.64,1.344369267,1.158133368,0.626899373,1.251773765
8/31/1981,0.585566194,-0.53,1.146361391,-1.291471091,-1.023935642,-0.388481513
9/30/1981,1.092695013,-0.19,0.354329884,-0.186672813,2.653874011,1.122279927
10/31/1981,0.93715154,-0.3,0.932721313,-0.384774573,2.36132097,0.99278609
11/30/1981,0.752305919,-0.41,-0.46375529,-1.664816716,1.400075265,-0.129493838
12/31/1981,-0.743365084,-0.2,0.208429344,-1.508621098,1.170212162,-0.258987676
1/31/1982,0.366033414,0.13,0.474176757,-0.102860529,-0.585106081,-0.215823063
2/28/1982,-0.389690153,-0.17,0.87019251,-0.89907722,-1.797111535,-0.388481513
3/31/1982,0.723635292,0.13,0.265747413,-0.54858949,0.480622852,0.690633801
4/30/1982,-1.034041243,0.21,0.72429197,1.950540409,0.167173166,-0.431646126
5/31/1982,-0.385866114,0.45,0.765977838,1.253374599,-1.295592037,-0.129493838
6/30/1982,-1.057054457,0.53,-0.448123089,-1.756248298,0.606002727,-1.381267603
7/31/1982,-1.644635051,0.37,-1.094254055,-1.260993897,0.083586583,-0.604304576
8/31/1982,2.913153965,0.73,-0.453333823,-0.883838623,-2.883737114,-0.129493838
9/30/1982,0.145813111,1.49,0.364751352,-0.89907722,-0.062689937,1.812913729
10/31/1982,1.283438608,1.99,-1.349580001,0.811455287,1.212005454,0.647469189
11/30/1982,1.045685999,1.92,-0.39080502,-0.617163176,-1.274695391,-0.604304576
12/31/1982,-0.743365084,2.2,-0.119846873,1.131465823,-0.438829561,-1.899242954
1/31/1983,-0.478376843,2.35,-1.349580001,0.754310549,0.710485956,-0.517975351
2/28/1983,-0.431559165,1.94,-1.72475282,0.544779841,2.50759749,0.345316901
3/31/1983,-1.00771864,1.38,-2.016553901,0.163814917,-0.522416144,-2.158230629
4/30/1983,-0.586075686,0.95,-1.505902009,1.062892137,-0.250759749,-0.258987676
5/31/1983,-0.203525941,0.9,-1.490269808,-1.39814127,-2.465804199,-0.690633801
6/30/1983,-1.53821192,0.54,-2.07387197,0.019048246,-1.37917862,-2.244559855
7/31/1983,0.486775894,-0.11,-2.094714905,-0.011428948,0,0.215823063
8/31/1983,1.295044819,-0.27,-0.620077298,-2.438175511,-1.316488682,-0.086329225
9/30/1983,0.085462396,-0.52,-1.068200387,1.207658808,0.062689937,0.561139964
10/31/1983,-0.402940794,-1.16,-0.07295027,-0.601924579,1.295592037,0.431646126
11/30/1983,0.405584005,-1.29,-0.984828649,-0.765739497,-3.531533132,-0.129493838
12/31/1983,-0.743365084,-1.03,-0.46375529,0.54858949,1.232902099,0.733798414
1/31/1984,-0.478376843,-0.67,-1.59448448,-1.836250932,1.128418871,2.201395242
2/29/1984,-0.431559165,-0.19,-0.59402363,-0.84955178,2.549390782,1.553926053
3/31/1984,-1.00771864,-0.52,-1.891496295,-1.775296544,1.818008181,-0.99278609
4/30/1984,-0.973075516,-0.68,-1.834178225,-0.430490364,-1.086625579,0.043164613
5/31/1984,0.882226907,-0.73,-1.495480541,-0.308581588,0.104483229,0.17265845
6/30/1984,0.256640092,-0.9,-0.265747413,1.34480618,-0.606002727,-1.726584504
7/31/1984,-0.553552867,-0.5,-1.219311661,-1.070511435,0.626899373,0.561139964
8/31/1984,-1.703549051,-0.24,-1.625748881,-0.377155274,-0.814969184,0.302152288
9/30/1984,-1.625168205,-0.34,-1.089043321,0.2476272,1.985181347,1.856078341
10/31/1984,-1.067194054,-0.67,-1.068200387,-1.222897405,1.420971911,2.115066017
11/30/1984,-0.581239901,-1.19,-1.3339478,-0.74669125,-0.856762476,-0.647469189
12/31/1984,-0.743365084,-1.34,-1.630959615,0.095241231,2.131457867,0.906456864
1/31/1985,-0.183128501,-1.16,-0.416858688,0.533350893,0.710485956,1.726584504
2/28/1985,0.266257708,-0.72,-0.145900541,-0.080002634,-0.020896646,1.079115315
3/31/1985,-0.624966821,-0.79,-0.567969962,-0.419061416,0.794072539,-0.99278609
4/30/1985,0.050088418,-1.18,0.583602163,2.000065849,0.856762476,-0.474810738
5/31/1985,-0.016212855,-1.03,0.166743475,-0.495254401,-1.065728933,0.086329225
6/30/1985,0.008103285,-0.91,-0.531494827,-0.476206155,-0.188069812,0.647469189
7/31/1985,-0.564145898,-0.74,-0.760767105,-1.641958821,0.814969184,0.129493838
8/31/1985,-1.739758487,-0.56,0.844138842,-0.540970192,0.585106081,-1.899242954
9/30/1985,-1.000850467,-0.7,0.161532741,-0.910506167,-0.397036269,-1.035950702
10/31/1985,-0.858649426,-0.49,0.995250116,0.167624566,0.438829561,-1.294938378
11/30/1985,-0.501227152,-0.37,0.474176757,-0.472396505,-3.385256612,-0.561139964
12/31/1985,-0.063357184,-0.41,0.541916294,-0.514302647,-0.961245705,1.33810299
1/31/1986,-0.283512937,-0.66,0.786820773,0.853361429,1.901594764,-1.424432215
2/28/1986,-0.271061284,-0.71,0.052107336,0.438109662,-0.271656395,1.16544454
3/31/1986,0.248185767,-0.42,-0.411647954,0.118099126,-1.086625579,-0.906456864
4/30/1986,-0.723911242,-0.33,0.099003938,1.120036875,0.271656395,1.035950702
5/31/1986,-1.595941808,-0.53,0.640920232,0.731452653,1.003038996,0.906456864
6/30/1986,2.091894639,-0.31,-0.448123089,0.175243865,1.37917862,-2.071901404
7/31/1986,0.462330439,-0.11,0.557548495,-0.2476272,-0.104483229,-1.467596828
8/31/1986,0.355862588,0.32,-0.432490888,-0.384774573,-1.358281974,-0.561139964
9/30/1986,-0.045644329,0.53,-0.156322008,-0.380964924,-0.083586583,-1.467596828
10/31/1986,-0.464731795,0.81,1.089043321,1.013366697,0.313449686,0.302152288
11/30/1986,-0.966486472,1.01,1.05777892,-0.327629834,0.250759749,0.345316901
